## Dateiname: 3-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 3-Gramme: 1772105
hla 0.02438 104_108_97
h v 0.02432 104_32_118
hti 0.02426 104_116_105
d g 0.02426 100_32_103
nah 0.02426 110_97_104
 Ba 0.02421 32_66_97
teh 0.02421 116_101_104
m e 0.02421 109_32_101
fin 0.02415 102_105_110
rad 0.02415 114_97_100
uns 0.02415 117_110_115
hes 0.02415 104_101_115
e l 0.02415 101_32_108
bis 0.02410 98_105_115
ffe 0.02410 102_102_101
ros 0.02398 114_111_115
e o 0.02393 101_32_111
eht 0.02387 101_104_116
om  0.02381 111_109_32
org 0.02376 111_114_103
n R 0.02359 110_32_82
 gi 0.02359 32_103_105
 k· 0.02353 32_107_183
hoe 0.02353 104_111_101
ne· 0.02353 110_101_13
Got 0.02353 71_111_116
lin 0.02347 108_105_110
·hl 0.02342 183_104_108
Gut 0.02342 71_117_116
g a 0.02342 103_32_97
hl  0.02342 104_108_32
s v 0.02336 115_32_118
oge 0.02336 111_103_101
t G 0.02336 116_32_71
·nn 0.02331 183_110_110
l d 0.02325 108_32_100
bil 0.02325 98_105_108
u d 0.02325 117_32_100
r H 0.02319 114_32_72
etr 0.02319 101_116_114
mac 0.02319 109_97_99
 dr 0.02314 32_100_114
·hn 0.02308 183_104_110
e E 0.02302 101_32_69
thi 0.02302 116_104_105
uss 0.02302 117_115_115
 Ab 0.02297 32_65_98
rue 0.02297 114_117_101
ame 0.02297 97_109_101
o s 0.02297 111_32_115
bar 0.02297 98_97_114
ird 0.02291 105_114_100
wol 0.02291 119_111_108
. E 0.02291 46_32_69
Ein 0.02285 69_105_110
ors 0.02280 111_114_115
eld 0.02280 101_108_100
ema 0.02280 101_109_97
rne 0.02274 114_110_101
 et 0.02274 32_101_116
d v 0.02268 100_32_118
d m 0.02268 100_32_109
n E 0.02263 110_32_69
ork 0.02263 111_114_107
 fa 0.02263 32_102_97
d b 0.02263 100_32_98
ewi 0.02257 101_119_105
·au 0.02252 10_97_117
·ng 0.02246 183_110_103
 Ki 0.02240 32_75_105
 fi 0.02240 32_102_105
r W 0.02235 114_32_87
s z 0.02235 115_32_122
itz 0.02229 105_116_122
Ali 0.02223 65_108_105
·he 0.02212 183_104_101
 Ta 0.02212 32_84_97
ale 0.02212 97_108_101
bra 0.02206 98_114_97
n · 0.02206 110_32_183
 ne 0.02206 32_110_101
leg 0.02201 108_101_103
wes 0.02201 119_101_115
 br 0.02201 32_98_114
ch· 0.02189 99_104_183
usg 0.02189 117_115_103
he· 0.02184 104_101_13
··E 0.02184 13_10_69
h b 0.02178 104_32_98
k·n 0.02173 107_183_110
aue 0.02167 97_117_101
··W 0.02167 13_10_87
s G 0.02161 115_32_71
ons 0.02156 111_110_115
 up 0.02156 32_117_112
gst 0.02150 103_115_116
, o 0.02150 44_32_111
hst 0.02150 104_115_116
hts 0.02144 104_116_115
rze 0.02139 114_122_101
er. 0.02139 101_114_46
l i 0.02133 108_32_105
t b 0.02133 116_32_98
zwe 0.02127 122_119_101
. I 0.02127 46_32_73
··K 0.02122 13_10_75
r M 0.02116 114_32_77
fal 0.02116 102_97_108
jec 0.02116 106_101_99
·r  0.02116 183_114_32
weg 0.02116 119_101_103
es, 0.02110 101_115_44
s o 0.02110 115_32_111
n P 0.02105 110_32_80
haf 0.02105 104_97_102
 Mi 0.02099 32_77_105
vol 0.02099 118_111_108
dli 0.02094 100_108_105
sge 0.02094 115_103_101
··B 0.02094 13_10_66
r f 0.02088 114_32_102
oje 0.02088 111_106_101
tal 0.02088 116_97_108
t.· 0.02082 116_46_13
 Tr 0.02082 32_84_114
lat 0.02077 108_97_116
n V 0.02077 110_32_86
hun 0.02077 104_117_110
ube 0.02077 117_98_101
wah 0.02077 119_97_104
roj 0.02077 114_111_106
sst 0.02077 115_115_116
r F 0.02071 114_32_70
ct  0.02060 99_116_32
ald 0.02060 97_108_100
gli 0.02054 103_108_105
m G 0.02054 109_32_71
rs  0.02054 114_115_32
 Br 0.02054 32_66_114
 Ar 0.02054 32_65_114
kli 0.02054 107_108_105
pen 0.02048 112_101_110
ank 0.02048 97_110_107
st· 0.02048 115_116_183
 Kr 0.02037 32_75_114
 Li 0.02037 32_76_105
 fu 0.02037 32_102_117
rti 0.02037 114_116_105
 or 0.02031 32_111_114
