## Dateiname: 2-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 2-Gramme: 1772106
TH 0.00446 84_72
D· 0.00440 68_183
md 0.00440 109_100
·C 0.00440 10_67
hd 0.00440 104_100
iu 0.00435 105_117
15 0.00435 49_53
R  0.00435 82_32
r: 0.00435 114_58
Am 0.00429 65_109
bh 0.00429 98_104
·T 0.00429 183_84
LI 0.00429 76_73
u. 0.00429 117_46
S  0.00429 83_32
d! 0.00423 100_33
T· 0.00423 84_183
sn 0.00423 115_110
AN 0.00418 65_78
z. 0.00412 122_46
·C 0.00412 183_67
 8 0.00412 32_56
 Q 0.00412 32_81
td 0.00412 116_100
Ph 0.00406 80_104
OR 0.00406 79_82
uz 0.00406 117_122
Is 0.00406 73_115
h; 0.00401 104_59
II 0.00395 73_73
p, 0.00389 112_44
BE 0.00389 66_69
Ac 0.00389 65_99
·K 0.00384 183_75
e? 0.00384 101_63
t' 0.00384 116_39
y, 0.00378 121_44
IT 0.00378 73_84
ax 0.00378 97_120
NT 0.00378 78_84
Oh 0.00378 79_104
O  0.00378 79_32
oy 0.00378 111_121
p: 0.00378 112_58
If 0.00378 73_102
t- 0.00378 116_45
IN 0.00372 73_78
eq 0.00372 101_113
5. 0.00372 53_46
14 0.00372 49_52
13 0.00372 49_51
hg 0.00372 104_103
RE 0.00367 82_69
s: 0.00361 115_58
hh 0.00361 104_104
ON 0.00356 79_78
tp 0.00356 116_112
ND 0.00350 78_68
Or 0.00350 79_114
s= 0.00350 115_61
CH 0.00350 67_72
·L 0.00350 183_76
sv 0.00350 115_118
v· 0.00344 118_183
3. 0.00344 51_46
ya 0.00344 121_97
Ad 0.00344 65_100
18 0.00344 49_56
xp 0.00344 120_112
Yo 0.00344 89_111
-A 0.00344 45_65
tk 0.00344 116_107
np 0.00339 110_112
sr 0.00339 115_114
N  0.00333 78_32
bw 0.00333 98_119
·V 0.00333 183_86
mf 0.00333 109_102
4. 0.00333 52_46
AR 0.00333 65_82
r- 0.00333 114_45
1· 0.00333 49_183
b· 0.00327 98_13
Em 0.00327 69_109
h: 0.00327 104_58
n) 0.00322 110_41
8. 0.00322 56_46
Ed 0.00322 69_100
 q 0.00322 32_113
zs 0.00322 122_115
Pi 0.00316 80_105
mk 0.00316 109_107
Im 0.00316 73_109
Ap 0.00310 65_112
I. 0.00310 73_46
s' 0.00310 115_39
yi 0.00310 121_105
F  0.00310 70_32
). 0.00310 41_46
·a 0.00310 183_97
.o 0.00310 46_111
r? 0.00310 114_63
Y  0.00310 89_32
F. 0.00305 70_46
Eb 0.00305 69_98
50 0.00305 53_48
2· 0.00305 50_183
Ir 0.00305 73_114
s? 0.00299 115_63
d- 0.00299 100_45
)· 0.00299 41_13
r= 0.00299 114_61
·= 0.00299 10_61
D  0.00299 68_32
HE 0.00299 72_69
=· 0.00299 61_13
IS 0.00293 73_83
UT 0.00293 85_84
Ol 0.00293 79_108
bn 0.00293 98_110
16 0.00293 49_54
b. 0.00293 98_46
-· 0.00293 45_183
iw 0.00288 105_119
3  0.00288 51_32
·2 0.00288 183_50
·- 0.00288 10_45
kc 0.00288 107_99
=. 0.00288 61_46
Oo 0.00282 79_111
OF 0.00282 79_70
Sn 0.00282 83_110
9. 0.00282 57_46
TE 0.00282 84_69
-S 0.00282 45_83
7. 0.00282 55_46
SE 0.00282 83_69
l; 0.00277 108_59
// 0.00277 47_47
fm 0.00277 102_109
CT 0.00277 67_84
·3 0.00277 183_51
DE 0.00277 68_69
:/ 0.00277 58_47
p· 0.00271 112_13
ES 0.00271 69_83
zb 0.00265 122_98
0· 0.00265 48_183
p! 0.00265 112_33
 7 0.00265 32_55
·( 0.00265 10_40
Sw 0.00260 83_119
·4 0.00260 183_52
RA 0.00260 82_65
3· 0.00260 51_183
Mr 0.00260 77_114
30 0.00254 51_48
yp 0.00254 121_112
ye 0.00254 121_101
·R 0.00254 183_82
h- 0.00254 104_45
-u 0.00254 45_117
Vu 0.00254 86_117
DI 0.00254 68_73
01 0.00254 48_49
tc 0.00254 116_99
Of 0.00248 79_102
RO 0.00248 82_79
(w 0.00248 40_119
.) 0.00248 46_41
a! 0.00248 97_33
ji 0.00248 106_105
h= 0.00248 104_61
TI 0.00248 84_73
wn 0.00243 119_110
ej 0.00243 101_106
mn 0.00243 109_110
8· 0.00243 56_183
4· 0.00243 52_183
Id 0.00243 73_100
kb 0.00243 107_98
6· 0.00237 54_183
·U 0.00237 183_85
=n 0.00237 61_110
(· 0.00237 40_183
i. 0.00237 105_46
At 0.00231 65_116
Uf 0.00231 85_102
·5 0.00231 183_53
bj 0.00231 98_106
bd 0.00231 98_100
bf 0.00231 98_102
6. 0.00231 54_46
0. 0.00231 48_46
5· 0.00226 53_183
B. 0.00226 66_46
=s 0.00226 61_115
.F 0.00226 46_70
e) 0.00226 101_41
7· 0.00226 55_183
u! 0.00226 117_33
9· 0.00220 57_183
Oc 0.00220 79_99
O, 0.00220 79_44
19 0.00220 49_57
.j 0.00220 46_106
nj 0.00220 110_106
jp 0.00220 106_112
2, 0.00220 50_44
PR 0.00220 80_82
g/ 0.00214 103_47
V· 0.00214 86_183
ST 0.00214 83_84
